entities,created_at,id,author_id,lang,edit_history_tweet_ids,text,context_annotations,retweet_count,reply_count,like_count,quote_count
"{'urls': [{'start': 120, 'end': 139, 'url': 'https://t.co/jokWC7', 'display_url': 't.co/jokWC7'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'WOLPalestine', 'id': '3439407017'}], 'annotations': [{'start': 104, 'end': 118, 'probability': 0.7388, 'type': 'Place', 'normalized_text': 'Central Station'}]}",2025-04-08T03:45:21.000Z,1909452479802101902,1175575729708269568,en,['1909452479802101902'],"RT @WOLPalestine: ‼️SHUT IT DOWN‼️
PRO PALESTINE PROTESTERS SHUTDOWN ENTRANCES TO GRAND CENTRAL

📍Grand Central Station https://t.co/jokWC7…",,194,0,0,0
"{'mentions': [{'start': 3, 'end': 16, 'username': 'Miminouche17', 'id': '1297565235222585344'}]}",2025-04-08T03:45:21.000Z,1909452477444858120,741875717617651712,fr,['1909452477444858120'],RT @Miminouche17: Et pour la Palestine ? Ou c'est trop arabe peut être ?,"[{'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1046545033657081857', 'name': 'News', 'description': 'News'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1047084549396549632', 'name': 'Ongoing news stories', 'description': 'Breaking News'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '822153632002904064', 'name': 'Emmanuel Macron', 'description': 'Emmanuel Macron'}}, {'domain': {'id': '35', 'name': 'Politician', 'description': 'Politicians in the world, like Joe Biden'}, 'entity': {'id': '822153632002904064', 'name': 'Emmanuel Macron', 'description': 'Emmanuel Macron'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '822153632002904064', 'name': 'Emmanuel Macron', 'description': 'Emmanuel Macron'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1070032753834438656', 'name': 'Political figures', 'description': 'Politician'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1483822657963397121', 'name': 'France politics'}}]",254,0,0,0
"{'mentions': [{'start': 3, 'end': 18, 'username': 'NerdeenKiswani', 'id': '2360591046'}, {'start': 71, 'end': 84, 'username': 'WOLPalestine', 'id': '3439407017'}], 'annotations': [{'start': 20, 'end': 23, 'probability': 0.9858, 'type': 'Place', 'normalized_text': 'Gaza'}, {'start': 50, 'end': 58, 'probability': 0.9608, 'type': 'Place', 'normalized_text': 'Palestine'}, {'start': 95, 'end': 115, 'probability': 0.9466, 'type': 'Place', 'normalized_text': 'Grand Central Station'}, {'start': 118, 'end': 121, 'probability': 0.6976, 'type': 'Place', 'normalized_text': 'NYPD'}]}",2025-04-08T03:45:21.000Z,1909452477394763912,1479797795087273984,en,['1909452477394763912'],"RT @NerdeenKiswani: Gaza said: Stop the world for Palestine. So today, @WOLPalestine took over Grand Central Station, NYPD shut down multip…","[{'domain': {'id': '88', 'name': 'Political Body', 'description': 'A section of a government, like The Supreme Court'}, 'entity': {'id': '854851734442721280', 'name': 'New York City Police Department', 'description': 'New York City Police Department'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847878884917886977', 'name': 'Politics', 'description': 'Politics'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '854851734442721280', 'name': 'New York City Police Department', 'description': 'New York City Police Department'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1095368797517533184', 'name': 'Law Enforcement', 'description': 'Law Enforcement'}}]",441,0,0,0
"{'mentions': [{'start': 3, 'end': 14, 'username': 'IAJT1210_2', 'id': '1004427740341293056'}], 'annotations': [{'start': 81, 'end': 89, 'probability': 0.921, 'type': 'Place', 'normalized_text': 'Palestine'}, {'start': 124, 'end': 129, 'probability': 0.9653, 'type': 'Place', 'normalized_text': 'London'}]}",2025-04-08T03:45:20.000Z,1909452473799958942,1475092464759414790,en,['1909452473799958942'],RT @IAJT1210_2: The woman that has been showing throat-slitting gestures towards Palestine supporters at a demonstration in London has been…,"[{'domain': {'id': '156', 'name': 'Cities', 'description': 'Cities around the world'}, 'entity': {'id': '855412191050121217', 'name': 'London', 'description': 'london'}}]",7454,0,0,0
"{'mentions': [{'start': 0, 'end': 12, 'username': 'AsadUllahQA', 'id': '1490964295181553668'}, {'start': 13, 'end': 28, 'username': 'SenatorMushtaq', 'id': '3273083665'}]}",2025-04-08T03:45:20.000Z,1909452472927613172,1891551373600358404,tl,['1909452472927613172'],@AsadUllahQA @SenatorMushtaq Blochistan bi army na Palestine hi bna dia ha,,0,0,0,0
"{'urls': [{'start': 117, 'end': 140, 'url': 'https://t.co/M0FpONxfka', 'expanded_url': 'https://x.com/Irnafrench/status/1908903836690919888/video/1', 'display_url': 'pic.x.com/M0FpONxfka', 'media_key': '7_1908902843005677568'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'claudeelkhal', 'id': '105093300'}]}",2025-04-08T03:45:19.000Z,1909452472394850584,1235628880112881664,fr,['1909452472394850584'],"RT @claudeelkhal: Les peuples ne sont pas leurs dirigeants.

Marée humaine hier à Rabat en soutien à la Palestine. 

https://t.co/M0FpONxfka",,1241,0,0,0
"{'mentions': [{'start': 3, 'end': 16, 'username': 'PalestineRCS', 'id': '288160069'}, {'start': 39, 'end': 48, 'username': 'trtworld', 'id': '3091150576'}], 'annotations': [{'start': 50, 'end': 62, 'probability': 0.8303, 'type': 'Person', 'normalized_text': 'Nebal Farsakh'}, {'start': 86, 'end': 115, 'probability': 0.5706, 'type': 'Organization', 'normalized_text': 'Palestine Red Crescent Society'}, {'start': 128, 'end': 131, 'probability': 0.5054, 'type': 'Organization', 'normalized_text': 'PRCS'}]}",2025-04-08T03:45:19.000Z,1909452471384293636,2492987706,en,['1909452471384293636'],"RT @PalestineRCS: In an interview with @trtworld, Nebal Farsakh, spokesperson for the Palestine Red Crescent Society, said that PRCS is cal…",,257,0,0,0
"{'mentions': [{'start': 3, 'end': 13, 'username': 'AJEnglish', 'id': '4970411'}], 'annotations': [{'start': 15, 'end': 18, 'probability': 0.5607, 'type': 'Person', 'normalized_text': 'Bibi'}, {'start': 73, 'end': 77, 'probability': 0.7089, 'type': 'Organization', 'normalized_text': 'Hamas'}, {'start': 130, 'end': 138, 'probability': 0.4257, 'type': 'Person', 'normalized_text': 'Palestini'}]}",2025-04-08T03:45:19.000Z,1909452469878292702,86410896,en,['1909452469878292702'],RT @AJEnglish: Bibi has abandoned the remaining Israeli captives held by Hamas in the evangelical pursuit of a sick plan to erase Palestini…,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974597310615553', 'name': 'Entertainment'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974597105094656', 'name': 'TV/Movies Related - Entertainment'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1066123894476570624', 'name': 'Al Jazeera', 'description': 'Al Jazeera'}}]",21,0,0,0
"{'urls': [{'start': 51, 'end': 74, 'url': 'https://t.co/zWNtu4slU7', 'expanded_url': 'https://x.com/jacksonhinklle/status/1909425970098192692/video/1', 'display_url': 'pic.x.com/zWNtu4slU7', 'media_key': '7_1909378130411769856'}], 'mentions': [{'start': 3, 'end': 18, 'username': 'jacksonhinklle', 'id': '1151913018936053760'}], 'annotations': [{'start': 23, 'end': 30, 'probability': 0.5559, 'type': 'Other', 'normalized_text': 'HUMANITY'}]}",2025-04-08T03:45:18.000Z,1909452468112474123,62660612,en,['1909452468112474123'],RT @jacksonhinklle: 🇵🇸 HUMANITY IS WITH PALESTINE! https://t.co/zWNtu4slU7,,109,0,0,0
"{'urls': [{'start': 278, 'end': 301, 'url': 'https://t.co/aOPa9t1yub', 'expanded_url': 'https://x.com/TFilastin/status/1909452464543129801/photo/1', 'display_url': 'pic.x.com/aOPa9t1yub', 'media_key': '3_1909452459266756608'}]}",2025-04-08T03:45:18.000Z,1909452464543129801,1279114128477519872,fr,['1909452464543129801'],"Les autorités américaines continuent d’annuler les visas des étudiants et diplômés qui ont participé à des manifestations et événements de solidarité avec la Palestine,organisés dans les universités à travers les 🇺🇸 pour protester contre la guerre dévastatrice d’Israël à Gaza. https://t.co/aOPa9t1yub","[{'domain': {'id': '69', 'name': 'News Vertical', 'description': 'News Categories like Entertainment or Technology'}, 'entity': {'id': '840159122012102656', 'name': 'Political News', 'description': 'Political News'}}]",0,0,0,0
